animals	plants	weight	layer
GueIng	ByrSp	2	antagonistic
NecLas	CamAda	20	antagonistic
PhiFre	CecHol	1	antagonistic
CerSub	CecPac	13	antagonistic
DidAur	CecPac	6	antagonistic
PhiFre	CecPac	1	antagonistic
CerSub	CecGla	12	antagonistic
DidAur	CecGla	11	antagonistic
NecLas	ChiAlb	3	antagonistic
CerSco	CocAur	6	antagonistic
CerSub	CocAur	19	antagonistic
DidAur	ErytSp	1	antagonistic
DidAur	EuphSp	3	antagonistic
DidAur	FicuSp	2	antagonistic
CerSub	LeaAur	3	antagonistic
NecLas	LeaAur	15	antagonistic
NecLas	LeaCor	4	antagonistic
CerSub	LeanSp	1	antagonistic
NecLas	LeanSp	2	antagonistic
DidAur	MicAlb	1	antagonistic
DidAur	MicLig	50	antagonistic
CerSub	MicPep	2	antagonistic
DidAlb	MicSp1	3	antagonistic
DidAlb	MorSp1	5	antagonistic
DidAur	MorSp2	1	antagonistic
DidAur	MorSp3	2	antagonistic
PhiFre	MorSp5	1	antagonistic
DidAur	MorSp6	1	antagonistic
DidAur	MorSp7	19	antagonistic
CerSub	MorSp8	72	antagonistic
NecLas	MorSp8	10	antagonistic
CerSub	MorSp9	9	antagonistic
NecLas	MorSp9	58	antagonistic
DidAur	MyrSp1	2	antagonistic
DidAur	MyrSp2	2	antagonistic
NecLas	MyrSp2	9	antagonistic
MonDom	PsidSp	1	antagonistic
NecLas	PsidSp	18	antagonistic
DidAlb	RubSp1	1	antagonistic
CerSub	SabBra	11	antagonistic
NecLas	SolaSp	2	antagonistic
DidAlb	TocFor	1	antagonistic
DidAur	VisBra	3	antagonistic
NecLas	CamAda	1	mutualistic
CerSub	CecPac	9	mutualistic
DidAur	CecPac	12	mutualistic
CerSub	CecGla	3	mutualistic
DidAur	CecGla	4	mutualistic
NecLas	ChiAlb	1	mutualistic
CerSco	CocAur	1	mutualistic
CerSub	CocAur	2	mutualistic
DidAur	CocAur	1	mutualistic
DidAur	ErytSp	6	mutualistic
DidAur	EuphSp	8	mutualistic
NecLas	LeaAur	12	mutualistic
NecLas	LeaCor	2	mutualistic
DidAur	MicLig	5	mutualistic
CerSub	MicPep	1	mutualistic
DidAlb	MicSp1	1	mutualistic
DidAlb	MorSp1	2	mutualistic
DidAur	MorSp7	36	mutualistic
OliSp	MorSp7	1	mutualistic
MonDom	MorSp9	2	mutualistic
NecLas	MorSp9	62	mutualistic
DidAur	MyrSp2	7	mutualistic
NecLas	MyrSp2	1	mutualistic
CerSub	PsidSp	2	mutualistic
MonDom	PsidSp	1	mutualistic
NecLas	PsidSp	24	mutualistic
DidAlb	RubSp1	3	mutualistic
PhiFre	RubSp2	1	mutualistic
NecLas	SolaSp	5	mutualistic
