nodes	taxon	captures
GueIng	Animal	1
NecLas	Animal	34
PhiFre	Animal	2
CerSub	Animal	20
DidAur	Animal	6
CerSco	Animal	1
DidAlb	Animal	2
MonDom	Animal	9
ByrSp	Plant	NA
CamAda	Plant	NA
CecHol	Plant	NA
CecPac	Plant	NA
CecGla	Plant	NA
ChiAlb	Plant	NA
CocAur	Plant	NA
ErytSp	Plant	NA
EuphSp	Plant	NA
FicuSp	Plant	NA
LeaAur	Plant	NA
LeaCor	Plant	NA
LeanSp	Plant	NA
MicAlb	Plant	NA
MicLig	Plant	NA
MicPep	Plant	NA
MicSp1	Plant	NA
MorSp1	Plant	NA
MorSp2	Plant	NA
MorSp3	Plant	NA
MorSp5	Plant	NA
MorSp6	Plant	NA
MorSp7	Plant	NA
MorSp8	Plant	NA
MorSp9	Plant	NA
MyrSp1	Plant	NA
MyrSp2	Plant	NA
PsidSp	Plant	NA
RubSp1	Plant	NA
SabBra	Plant	NA
SolaSp	Plant	NA
TocFor	Plant	NA
VisBra	Plant	NA
OliSp	Animal	NA
RubSp2	Plant	NA
