nodes	taxon
GueIng	Animal
NecLas	Animal
PhiFre	Animal
CerSub	Animal
DidAur	Animal
CerSco	Animal
DidAlb	Animal
MonDom	Animal
ByrSp	Plant
CamAda	Plant
CecHol	Plant
CecPac	Plant
CecGla	Plant
ChiAlb	Plant
CocAur	Plant
ErytSp	Plant
EuphSp	Plant
FicuSp	Plant
LeaAur	Plant
LeaCor	Plant
LeanSp	Plant
MicAlb	Plant
MicLig	Plant
MicPep	Plant
MicSp1	Plant
MorSp1	Plant
MorSp2	Plant
MorSp3	Plant
MorSp5	Plant
MorSp6	Plant
MorSp7	Plant
MorSp8	Plant
MorSp9	Plant
MyrSp1	Plant
MyrSp2	Plant
PsidSp	Plant
RubSp1	Plant
SabBra	Plant
SolaSp	Plant
TocFor	Plant
VisBra	Plant
OliSp	Animal
RubSp2	Plant
